Alfven radius = 0.932625035277 AU 
Outflow speed at Alfven point = 1191.33308133 km/s 
Slow point radius = 0.008016209989824205 AU 
Outflow speed at slow point = 165.95161126155605 km/s 
Fast point radius = 4.296207849449601 AU 
Outflow speed at fast point = 1615.6367184703852 km/s 
R (cm)    density (g/cm^3)    Vr (cm/s)    Vphi (cm/s)     Br (G)     Bphi (G) 
418979210403.98553    7.862551608434716e-21    36353262.97578091    3887637.1442819675    0.6888891257692061    -0.03232343986450522 
489443843941.529    5.425920477711261e-21    38602256.28570101    4418628.796330957    0.5048106822413684    -0.02766418608405317 
571759338944.9521    3.759926382961707e-21    40821219.93591746    5020420.787771911    0.3699199412103493    -0.02367495155356205 
667918793376.0641    2.6142994040809172e-21    43021862.14017703    5701396.909649485    0.27107342954291874    -0.020259177547078084 
780250507789.0588    1.822656011992904e-21    45218798.93088375    6470348.399369474    0.1986397488162894    -0.01733419836194244 
911474360270.4879    1.2733546142214696e-21    47430049.269892536    7336179.932457394    0.1455611118962556    -0.014829242384421192 
1064767662612.149    8.908841945972232e-22    49677633.03983734    8307429.690994402    0.10666564684427625    -0.012683722129726804 
1243842092286.7156    6.238159491706703e-22    51988212.08271029    9391533.743326327    0.07816346047711481    -0.010845772156521992 
1453033562973.3982    4.369102190536666e-22    54393669.79123362    10593756.593207542    0.057277359060850984    -0.009270999769156315 
1697407209660.899    3.058915306025804e-22    56931459.50010448    11915716.204747383    0.04197224433207114    -0.007921418497323007 
1982880030322.8499    2.139581305121192e-22    59644469.83703861    13353468.60551514    0.030756817757597407    -0.006764538525317037 
2316364153678.0254    1.49431487069356e-22    62580073.0525668    14895204.823662875    0.022538271508422306    -0.005772591530593237 
2705934201965.25    1.0416236994876616e-22    65787978.00308599    16518770.284734912    0.016515807538700515    -0.0049218697761911475 
3161022801073.395    7.24435233255954e-23    69316565.136268    18189444.750862863    0.012102609490415661    -0.004192160856883711 
3692648971896.2695    5.0264292635972666e-23    73207610.21025205    19858676.215100147    0.008868664528469234    -0.003566260516406089 
4313684932932.558    3.479771694651127e-23    77489750.21991691    21464633.986666378    0.006498863784774328    -0.0030295470679028223 
5039167774199.147    2.4046517276037446e-23    82171654.97051619    22935365.56521023    0.004762298805809222    -0.002569603091514516 
5886663548991.327    1.659799090185063e-23    87236433.89622915    24194860.21172012    0.0034897623133671343    -0.0021758740683399617 
6876692599212.085    1.1453514290077559e-23    92639002.71196277    25171452.83535206    0.002557260999444582    -0.0018393594043703352 
8033226412635.924    7.909051123885994e-24    98307682.2949679    25807029.681779254    0.001873933876307615    -0.0015523374470595983 
9384268042469.309    5.4705484189367906e-24    104150217.40484275    26064906.539939366    0.0013731989709052034    -0.0013081301021347926 
10962530142856.307    3.793399193168211e-24    110063091.3220175    25934433.34575502    0.001006265715955053    -0.00110091249435637 
12806227037544.324    2.6388116662462006e-24    115942074.20713197    25431327.51486125    0.0007373808985882411    -0.0009255688474173074 
14960000000000.023    1.8423298889025336e-24    121691787.43894872    24594008.202299595    0.0005403449416804868    -0.0007775897160880485 
